"DateMadePublic","Company","City","State","TypeofBreach","TypeofOrganization","RecordsBreached","TotalRecords","DescriptionofIncident","Information.Source","Year","lon","lat"
"January 20, 2007","Greenville South Carolina County School District","Greenville","South","Physical Loss","Educational Institutions","0",0,"Boxes of personnel records were inadvertently left unsecured during renovations.  Ten boxes held the names and Social Security numbers of teachers employed by the district between 1972 and 1990.  Other boxes contained personnel records through 1998.  District officials secured the boxes after receiving an anonymous call about the mistake.","Dataloss DB","2007",-82.3940104,34.8526176
"January 23, 2007","Xerox","Wilsonville","Oregon","Portable Device","Retail Merchant Including Online Retail","297",297,"A laptop was stolen from a human resources manager's car.  Some of the employees affected by the incident experienced credit problems before being informed that the theft had put them at risk.  One employee had multiple cell phone accounts taken out in his name a month and a half after the theft.","Dataloss DB","2007",-122.7737062,45.2998418
"January 23, 2007","Rutgers-Newark University, Political Science Department","Newark","New","Portable Device","Educational Institutions","200 students",200,"An associate professor's 
            laptop was stolen, containing names and SSNs of 200 students. Rutgers 
            no longer uses SSNs as student IDs, but student IDs from past years 
            are still SSNs.","Dataloss DB","2007",-74.1723667,40.735657
"January 25, 2007","Ohio Board of Nursing","Columbus","Ohio","Unintended Disclosure","Government and Military","3,031",3031,"The agency's Website posted 
            names and SSNs of newly licensed nurses twice in the past two months. The Social Security numbers were supposed to have been removed before posting.","Dataloss DB","2007",-82.9987942,39.9611755
"January 28, 2007","Salina Regional Health Center","Salina","Kansas","Portable Device","Healthcare Medical Providers and Medical Insurance Services","1,100",1100,"A laptop was stolen from a Hospital office.  It contained names, Social Security numbers and medical histories of patients.  Only patients treated by the laptop user are at risk for identity theft.","Dataloss DB","2007",-97.6114237,38.8402805
"January 29, 2007","Vermont Agency of Human Services","Waterbury","Vermont","Hacking or Malware","Government and Military","70,000",70000,"A state computer that contained the names, Social Security numbers and bank account information was hacked into.  Some of the information came from noncustodial parents who owed back child support while most of the people affected were customers of New England Federal Credit Union with no history of owing child support.  The information is from 2004 and 2005 credit union members.","Dataloss DB","2007",-72.7562636,44.3378203
"January 17, 2007","Rincon del Diablo Municipal Water District","Escondido","California","Stationary Device","Government and Military","500",500,"Two computers were stolen 
            from the district office. One included names and credit card numbers 
            of customers.","Dataloss DB","2007",-117.086421,33.1192068
"January 10, 2007","Advent Software Inc.","San","Francisco","Portable Device","Retail Merchant Including Online Retail","0",0,"A laptop was stolen from the office on or around November 20.  It contained employee Social Security numbers and addresses. Employees were notified in December.  At least 21 New Hampshire residents were affected, but the total number of affected individuals nationwide was not revealed.","Dataloss DB","2007",-122.4194155,37.7749295
"January 24, 2007","Cornell University","Detroit","Michigan","Portable Device","Educational Institutions","122",122,"An employee laptop was lost after being checked as baggage at Detroit Metropolitan International Airport.  It contained names, Social Security numbers and credit card numbers of some people.","Dataloss DB","2007",-83.0457538,42.331427
"August 29, 2006","Wells Fargo, Paymap Inc., First Horizon Home Loans, Western Union","Memphis","Tennessee","Portable Device","Financial and Insurance Services","0",0,"Computer discs with sensitive customer information were stolen from a Paymap facility in September of 2005.  People who were subscribers between 1999 and 2002 may have been affected.  The theft was not discovered until an unrelated mail fraud investigation was in process.  information included names, addresses, telephone numbers, Social Security numbers, loan account numbers, bank account information, copies of signatures and copies of voided or cleared personal checks.","Dataloss DB","2006",-90.0489801,35.1495343
"January 9, 2007","Mercer Health and Benefits","",NA,"Portable Device","Financial and Insurance Services","10,500 (No SSNs or financial information reported)",0,"A laptop computer was stolen from a vehicle.  ","","2007",18.49041,-22.95764
"January 26, 2007","The Bombay Company","Fort","Worth","Portable Device","Retail Merchant Including Online Retail","60",60,"A laptop that contained customer names, credit card types, last four digits of credit card numbers and phone numbers was stolen.  Information about purchase amounts and dates was also on the laptop.","Dataloss DB","2007",-97.3307658,32.7554883
"January 22, 2007","Sprint Nextel","Charlotte","North","Portable Device","Retail Merchant Including Online Retail","1,608",1608,"A laptop computer was stolen from an employee's home during a late November burglary.  Information from customers nationwide was stored on the hard drive.  Customers' names, addresses, Sprint Nextel account numbers and access codes, credit card numbers and phone numbers may have been exposed.","Dataloss DB","2007",-80.8431267,35.2270869
"January 29, 2007","Public Storage Inc.","Glendale","California","Hacking or Malware","Business Other","0",0,"Someone gained unauthorized access to electronic company personnel files.  The files included Social Security numbers, dates of birth, home addresses and other active employee information.","Dataloss DB","2007",-118.255075,34.1425078
"January 19, 2007","First Advantage SafeRent, Inc., Z II Investment Group, LLC","Philadelphia","Pennsylvania","Insider","Financial and Insurance Services","18",18,"A company named Z II Investment Group, LLC had a number of unauthorized credit reports performed.  The unauthorized reports contained name, address, Social Security number, date of birth, and partial credit card number.","Dataloss DB","2007",-75.1652215,39.9525839
"January 25, 2007","Visiting Nurse Service of New York (VNSNY)","New","York","Portable Device","Healthcare Medical Providers and Medical Insurance Services","52",52,"A tablet computer was stolen from a registered nurse.  Patient Social Security numbers, names, addresses and telephone numbers were on the tablet.  VNSNY warned patients that people might use the information and tablet to pose as VNSNY employees.","Dataloss DB","2007",-74.0059728,40.7127753
"January 11, 2007","Transamerica Financial Life Insurance Company, Aegon Insurance Group","Cedar","Rapid","Insider","Financial and Insurance Services","67",67,"A former employee of an affiliated company accessed customer records and was eventually discovered to be part of a credit card fraud investigation.  The records found included names, addresses, Social Security numbers and dates of birth.","Dataloss DB","2007",-91.6656232,41.9778795
"January 28, 2007","New York Academy of Medicine","New","York","Stationary Device","Educational Institutions","7,460 (0 complete SSNs)",0,"A computer was stolen during an office burglary in October 28.  The last four digits of research participants' Social Security numbers, full names and dates of birth were on a database on the computer.  Some participants also had their addresses and laboratory data exposed.","Dataloss DB","2007",-74.0059728,40.7127753
"January 18, 2007","Private Medical Practice","Cheektowaga","New","Stationary Device","Healthcare Medical Providers and Medical Insurance Services","10,600",10600,"The December 15 office burglary of three computers may have exposed patient information.  Names, Social Security numbers, addresses, dates of birth, phone numbers, insurance companies and insurance ID numbers were on the computers.","Dataloss DB","2007",-78.744572,42.9026136
"January 26, 2007","UPS Capital Business Credit, U.S. Farm Credit Administration (FCA)","Windsor","Connecticut","Portable Device","Financial and Insurance Services","48",48,"An FCA employee's laptop and USB memory drive were lost on November 3. UPS credit loans were being reviewed by FCA. Taxpayer identification numbers, Social Security numbers and loan information may have been exposed.","Dataloss DB","2007",-72.6437022,41.8525984
"January 10, 2007","New Hope Church","Durham","North","Portable Device","Nonprofits","45",45,"Current and former employee information was on a stolen laptop.  The laptop was taken from the church offices during a December 31 burglary. Names, Social Security numbers, addresses and payroll information was on the stolen laptop.","Dataloss DB","2007",-78.898619,35.9940329
"August 10, 2010","Metropolitan Life Insurance Company (MetLife)","New","York","Insider","Financial and Insurance Services","0",0,"MetLife wrote ""On January 5, 2010, we learned that one of our employees was sharing individual disability insurance applications with an unauthorized individual.  We believe that the shared documents contained sensitive information including name, address, Social Security number, driver's license number, checking account information, and date of birth.""","Databreaches.net","2010",-74.0059728,40.7127753
"February 28, 2007","Gulf Coast Medical Center","Tallahassee","Florida","Portable Device","Healthcare Medical Providers and Medical Insurance Services","8,000",8000,"Patient information 
            including names and Social Security numbers were compromised when a
            computer went missing in February in Tallahassee, FL. A very similar and previously uncovered breach happened in November of 2006.","Dataloss DB","2007",-84.2807329,30.4382559
"January 2, 2007","BayRock Mortgage","Alpharetta","Georgia","Portable Device","Financial and Insurance Services","197",197,"A laptop with investor information was lost when an employee's rental car that it was in was stolen.","Dataloss DB","2007",-84.2940899,34.0753762
"February 23, 2007","ADC Telecommunications Inc., Flex Compensation","St","Louis","Portable Device","Retail Merchant Including Online Retail","63,400",63400,"A laptop was stolen from ADC's benefits administrator.  Current and former employee names, Social Security numbers, bank account numbers, dates of birth, addresses and other private information were on the laptop.  It is not clear if employees from other companies that use Flex Compensation for benefits administration are among the 63,400 affected individuals.","Dataloss DB","2007",-90.1994042,38.6270025
"February 9, 2007","General Electric","Louisville","Kentucky","Portable Device","Retail Merchant Including Online Retail","80",80,"A GE service technician's laptop was stolen.  It contained customer names and credit card numbers.","Dataloss DB","2007",-85.7584557,38.2526647
"February 6, 2007","Merchant America","Camarillo","California","Hacking or Malware","Retail Merchant Including Online Retail","130,000",130000,"A hacker gained access to a customer database.  Customers who made transactions with merchants that Merchant America provides payment processing services to may have had their names, bank account numbers and driver's license numbers exposed.","Dataloss DB","2007",-119.0376023,34.2163937
"February 8, 2007","Fresenius Medical Care Holdings Inc., Fresenius Medical Care North America (FMCNA)","Waltham","Massachusetts","Portable Device","Healthcare Medical Providers and Medical Insurance Services","10 (No SSNs or financial information reported)",0,"A laptop was stolen from the locked car of an employee on December 13 while it was parked outside of a restaurant.  The laptop contained patient names, dates of birth, dates of service and insurance information.","Dataloss DB","2007",-71.2356113,42.3764852
"February 16, 2007","Brunswick Corp.","Lake","Forrest","Hacking or Malware","Retail Merchant Including Online Retail","5,100",5100,"An unauthorized person obtained access to employee information stored on Brunswick's computer systems.  Names, Social Security numbers and addresses may have been exposed during the April incident.","Dataloss DB","2007",-87.840625,42.2586342
"November 24, 2008","Starbucks Corp.","Seattle","Washington","Portable Device","Retail Merchant Including Online Retail","97,000",97000,"A laptop containing private information 
            on employees was stolen. The information included names, addresses 
            and Social Security numbers.  ","Dataloss DB","2008",-122.3320708,47.6062095
"December 19, 2010","Stony Brook University ","Stony","Brook","Unintended Disclosure","Educational Institutions","61,001 (No SSNs or financial information reported)",0,"Student and faculty network and student IDs were posted online on sbuchat.com.  A file with all registered student and faculty ID numbers could be downloaded in a PDF or Excel format.  A systems engineer undergraduate discovered a flaw in the SOLAR system that allowed him to change students' NetID passwords without knowledge of the original password.  The student then accessed the complete list of student and faculty IDs and posted the information.","Databreaches.net","2010",-73.1233889,40.9123761
"December 17, 2010","Integrated Biometrics Technology (IBT)","Waco","Texas","Insider","Business Other","0",0,"A former employee who had worked as a live scan operator took thousands of background check applications she had processed and used them to obtain fraudulent credit cards and financial accounts.  The applications were from Fingerprint Applicant Services of Texas (FAST) and used for Texas licensing and certification. The former employee is alleged to have conspired with at least three other people.","Databreaches.net","2010",-97.1466695,31.549333
"December 16, 2010","Azteca","Okeechobee","Florida","Insider","Retail Merchant Including Online Retail","0",0,"A convenience store clerk was indicted on federal conspiracy, wire fraud, credit card fraud and aggravated identity theft charges.  He is accused of using a skimmer device to obtain credit card information during normal customer credit card transactions.  The stolen information was used to recode gift cards and other credit cards with magnetic strips to create counterfeits.  The employee was outed after selling a card to someone who then informed the FBI.","Databreaches.net","2010",-80.8297828,27.2439349
"December 16, 2010","Concur Technologies Inc.","Redmond","Washington","Stationary Device","Business Other","1,017",1017,"Computer equipment and software with employee information were stolen during a November 27 or 28 office burglary.  The information included names, Social Security numbers, addresses and dates of birth.","Databreaches.net","2010",-122.121512,47.6739881
"October 1, 2010","Central Florida Regional Transportation Authority, LYNX ","Orlando","Florida","Insider","Business Other","24",24,"A former bus driver pleaded guilty to stealing the identities of some of her disabled passengers.  The driver pleaded guilty to 27 counts of wire fraud, aggravated identity theft and trafficking in a counterfeit device.  The information was stolen between October and November of 2009 and used to open fraudulent credit accounts.UPDATE (12/16/10): The former bus driver was sentenced to three and a half years in prison and ordered to pay $3,667 in restitution.","Databreaches.net","2010",-81.3792365,28.5383355
"December 3, 2010","Mesa County, Western Colorado Drug Task Force","Grand","Junction","Unintended Disclosure","Government and Military","200,000 (Unknown number of SSNs)",0,"A former employee accidentally posted sensitive information in a place that was publicly accessible on the  Internet.  The home addresses of sheriff's deputies, names of confidential drug informants, confidential emails between officers and other sensitive information were accessible from April until the discovery in November. The FBI is investigating which computer users may have accessed the information. The breach was discovered on November 24 when an individual searched the Internet and found one of the files mentioning his or her name.","Databreaches.net","2010",-108.5506486,39.0638705
"December 17, 2010","deviantART, Silverpop Systems Inc.","Hollywood","California","Hacking or Malware","Business Other","13,000,000 (No SSNs or financial information exposed)",0,"Mirroring the Gawker an McDonald's breaches earlier this month, hackers exposed the email addresses, user names and birth dates of the entire deviantART user database.  Hackers were able to breach deviantART's marketing company Silverpop Systems Inc. Passwords and sensitive information were not exposed, but the breach is expected to increase spam for registered users.","Databreaches.net","2010",-118.3286614,34.0928092
"December 16, 2010","Twin America LLC, CitySights NY","New","York","Hacking or Malware","Business Other","110,000",110000,"On or around October 25 a web programmer discovered that malicious script had been placed on the server.  The script appears to have been uploaded on September 26 and had allowed access to the customer database multiple times between that date and October 19.  Customer names, credit card numbers, credit card expiration dates, CVV2 data, addresses and email addresses may have been exposed.","Databreaches.net","2010",-74.0059728,40.7127753
"December 16, 2010","Wackenhut","Palm","Beach","Portable Device","Business Other","0",0,"Hard drives were stolen during shipment between Iraq and the US.  The company became aware of the loss on November 29.  The hard drives contained former employee full names, Social Security numbers, passport numbers, addresses and dates of birth.","Databreaches.net","2010",-80.0364297,26.7056206
"February 15, 2007","The Professional Education Institute","Burr","Ridge","Unintended Disclosure","Educational Institutions","34",34,"Customer information was accidentally exposed online because of a data encryption lapse.  The Social Security numbers and dates of birth of some customers were viewable on the Millionaire Elite Website.  Two New Hampshire, three Maine and 29 New York residents were affected by the breach.  The total number of individuals affected nationwide was not revealed.","Dataloss DB","2007",-87.9183919,41.7489203
"February 8, 2007","LexisNexis","Boca","Raton","Insider","Business Other","220",220,"LexisNexis sent out notification letters of two separate incidents.  A law enforcement customer noticed that an account was used in an unauthorized way.  Searches that revealed names, Social Security numbers and driver's license numbers may have been performed by an unauthorized user or without proper reason.  The second incident involves a government agency employee who may have used his account in an unauthorized manner to view names, Social Security numbers, addresses and driver's license numbers.  Over 220 New York residents were affected by the breaches, but the total number of affected customers nationwide was not revealed.","Dataloss DB","2007",-80.1289321,26.3683064
"February 21, 2007","Fidelity Investments, Dairy Farmers of America","",NA,"Portable Device","Financial and Insurance Services","69",69,"A Fidelity laptop used by a former Fidelity employee was discarded and recovered by a non-affiliated person. The employee had taken the laptop home after believing it had been decommissioned from business use by Fidelity. Participants and beneficiaries of participants in the Dairy Farmers of America Defined Benefit plan had their names and Social Security numbers exposed. At least 69 New York residents were affected by the breach, but the total number of affected individuals nationwide was not revealed.","","2007",18.49041,-22.95764
"February 27, 2007","CBCInnovis Inc., Hudiburg Chevrolet ","Midwest","City","Unknown","Retail Merchant Including Online Retail","138",138,"An unauthorized person gained access to Hudiburg Chevrolet's CBCInnovis account.  The person or persons would have been able to obtain customer names, Social Security numbers, addresses and credit information.","Dataloss DB","2007",-97.3967019,35.4495065
"February 8, 2007","District Council 37 Health and Security Plan of New York City","New","York","Portable Device","Government and Military","31,500",31500,"A CD containing prescription drug data was discovered missing from the organization's files.  People who had their prescription drugs filled through DC 37's prescription drug benefits plan may have had their names and Social Security numbers exposed.  Prescription information from between February 13 and February 22 of 2006 (the previous year) was also exposed.","Dataloss DB","2007",-74.0059728,40.7127753
"February 20, 2007","Credit Suisse","New","York","Unintended Disclosure","Financial and Insurance Services","3,000",3000,"Documents with confidential details of loan applicants were mistakenly posted online.  The documents are routinely posted online without personal information.  Applicant names, Social Security numbers, addresses, monthly incomes and credit scores were exposed.  The exposure first occurred on March 15, 2006.","Dataloss DB","2007",-74.0059728,40.7127753
"February 28, 2007","First Advantage SBS","Saint","Petersburg","Hacking or Malware","Business Other","0",0,"Subscriber user-IDs and passwords were compromised.  Unauthorized individuals may have accessed names, Social Security numbers, addresses and other information related to employment credit reports.  At least 11 New York residents were affected by this breach, but the total number of affected individuals nationwide was not revealed.","Dataloss DB","2007",30.3350986,59.9342802
"February 17, 2007","Albany Medical Center ","Albany","New","Portable Device","Healthcare Medical Providers and Medical Insurance Services","12,000 (Unknown number of SSNs)",0,"A laptop was stolen from the Employee Health Services center.  It contained software used to track information required for N95 fit testing at Albany Med.  Staff names and Social Security numbers were also exposed.  Anyone who had N95 fit testing at Albany Med between January 2005 and February 2007 may have had their personal information exposed.","Dataloss DB","2007",-73.7562317,42.6525793
"March 12, 2007","Dai Nippon","",NA,"Insider","Business Other","0",0,"A former contract worker of a Japanese commercial printing company stole nearly 9 million pieces of private data on customers from 43 clients, including U.S. companies. The stolen data includes confidential information such as names, addresses and credit card numbers intended for use in direct mailing and other printing services. Customers of U.S.-based American Home Assurance Co. and Toyota Motor were affected.","","2007",18.49041,-22.95764
"March 26, 2007","Fort Monroe","Fort","Monroe","Portable Device","Government and Military","16,000",16000,"A laptop computer 
            containing the names, Social Security numbers and payroll information 
            for as many as 16,000 civilian employees was stolen from an employee's 
            personal vehicle. Bank account and bank routing information were not 
            included.  People who work at the U.S. Army Training and Doctrine Command were affected.","Dataloss DB","2007",-76.311127,37.0015339
"March 16, 2007","Henry Schein, Financial Services, Inc., ChoiceHealth Leasing","Chicago","Illinois","Portable Device","Financial and Insurance Services","340",340,"A laptop was stolen from a Henry Schein agent during a trade show in Chicago, IL.  The laptop may have contained the names and Social Security numbers of people who had a leasing or loan transaction with Choice Health Leasing were affected.","Dataloss DB","2007",-87.6297982,41.8781136
"March 7, 2007","Right Media Inc.","New","York","Hacking or Malware","Business Other","34",34,"An unauthorized person or persons accessed the computer system.  Customer names, Social Security numbers, email addresses, addresses and employee ID numbers may have been accessed.  ","Dataloss DB","2007",-74.0059728,40.7127753
"March 19, 2007","Pitney Bowes","Stamford","Connecticut","Portable Device","Financial and Insurance Services","83",83,"An employee's laptop was stolen from her home on or around March 2.  The laptop may have contained employee names and Social Security numbers.","Dataloss DB","2007",-73.5387341,41.0534302
"March 13, 2007","The New Teachers Project","New","Orleans","Portable Device","Nonprofits","0",0,"The January 13 theft of a laptop exposed personal information of current and former practitioner teachers.  The laptop was stolen from an office.  It contained names, Social Security numbers, addresses and telephone numbers.   Seven New York residents were affected, but the number of affected employees nationwide was not revealed.","Dataloss DB","2007",-90.0715323,29.9510658
"March 26, 2007","United Subcontractors Inc.","Edina","Minnesota","Portable Device","Business Other","123",123,"Three jump drives and a laptop were stolen from the trunk of a rental car.  The names, Social Security numbers, and dates of birth of employees may have been exposed.","Dataloss DB","2007",-93.3499489,44.8896866
"March 23, 2007","New York Institute of Technology","Old","Westbury","Unintended Disclosure","Educational Institutions","256",256,"A file with the names, Social Security numbers, addresses, dates of birth, degree types and majors of former NYIT students was posted on NYIT's website.  The information was not accessible via the NYIT website, but could be found through an Internet search.","Dataloss DB","2007",-73.5801344,40.7825013
"March 20, 2007","Sungard ","Malvern","Pennsylvania","Portable Device","Retail Merchant Including Online Retail","3,560",3560,"A laptop was stolen from an employee's car.  It contained the names and Social Security numbers of employees.  Around 1,700 employees had their bank transfer ABA number and account number exposed, and about 100 had their credit card number exposed.","Dataloss DB","2007",-75.5138118,40.0362184
"March 7, 2007","North Carolina Department of Correction","Raleigh","North","Physical Loss","Government and Military","16 (No SSNs or financial information reported)",0,"Paper documents with sensitive information were thrown into the trash and may have been recovered by an inmate working as a janitor.","Dataloss DB","2007",-78.6381787,35.7795897
"March 7, 2007","Eastern Suffolk BOCES","Patchogue","New","Hacking or Malware","Government and Military","1,500",1500,"A file server in the Eastern Suffolk BOCES computer area was hacked.  Data from the Free and Reduced Lunch Database was compromised.  The names of parents and children, Social Security numbers, addresses, home and work phone numbers, salary information and income information that were related to the program may have been accessed.","Dataloss DB","2007",-73.019343,40.7659783
"March 28, 2007","City of New York Department of Environmental Protection","Flushing","New","Insider","Government and Military","2,108",2108,"An employee was discovered to have accessed customer names and Social Security numbers.  The employee was terminated. The employee's length of employment and any fraudulent activity related to the breach was not reported.","Dataloss DB","2007",-73.833079,40.7674987
"March 19, 2007","Electronic Data Systems Corp. (EDS)","Sacramento","California","Portable Device","Financial and Insurance Services","30",30,"An EDS employee working on a project involving processing workers' compensation related medical bills for Fireman's Fund had his laptop stolen from his car on January 19.  Names and Social Security numbers were exposed.","Dataloss DB","2007",-121.4943996,38.5815719
"March 23, 2007","Homeland Funding Solutions Inc.","Cranston","Rhode","Stationary Device","Financial and Insurance Services","0",0,"Two laptops and 13 desktop computers were stolen from the main office of Homeland Funding Solutions, Inc. over the weekend of March 17.  Loan information that had been sent via email may have been on the hard drives of the stolen computers.","Dataloss DB","2007",-71.4372796,41.7798226
"March 30, 2007","Exponent Technologies, Inc.","Dallas","Texas","Portable Device","Financial and Insurance Services","3,250",3250,"A laptop was stolen from Exponent's office.  Multiple organizations were affected because Exponent provides human resources services for various companies.  Employee names, Social Security numbers and addresses may have been on the laptop.","Dataloss DB","2007",-96.7969879,32.7766642
"March 16, 2007","Laser Pros International Corp","Rhinelander","Wisconsin","Hacking or Malware","Business Other","434",434,"Someone gained access to transaction data from the Laser Pros website.  Customer names, addresses, email addresses, credit card numbers and security codes for credit cards may have been accessed.  Some customers reported fraudulent charges.  The total number of credit cards accessed was 434, though customers may have had multiple credit cards.","Dataloss DB","2007",-89.4120753,45.6366228
"March 30, 2007","New York State Office of the State Comptroller","Albany","New","Unintended Disclosure","Government and Military","47",47,"A retiree discovered a web page with a list of retirees who had requested a copy of their 1099R tax form.  Names, Social Security numbers, phone numbers and retirement numbers were on the page.  The entire web page and the ""tax calculator"" feature which the retiree had used to find the information were removed from the website when the Office became aware of the incident.","Dataloss DB","2007",-73.7562317,42.6525793
"April 6, 2007","Hortica (Florists’ Mutual Insurance Company), UPS","Edwardsville","Illinois","Portable Device","Financial and Insurance Services","268,000",268000,"A locked shipping 
            case of backup tapes containing personal information including names, 
            Social Security numbers, drivers' license numbers, and bank account 
            numbers went missing while in transit with UPS.","Dataloss DB","2007",-89.953157,38.8114364
"April 27, 2007","Caterpillar, Inc., SBA Inc.","Peoria","Illinois","Portable Device","Business Other","0",0,"A laptop computer containing personal data of employees including Social Security numbers, banking information and addresses was stolen from a benefits consultant that works with the company.","Dataloss DB","2007",-89.5889864,40.6936488
"March 29, 2007","Experian, Vallarta Auto Sales","Las","Vegas","Unknown","Retail Merchant Including Online Retail","0",0,"An unauthorized person gained access to Vallarta's Experian account and may have obtained consumer information.  Affected individuals may have had their names, Social Security numbers, dates of birth and addresses exposed. Fourteen New York residents were affected, but the total number of people affected nationwide was not reported.","Dataloss DB","2007",-115.1398296,36.1699412
"April 30, 2007","Home Depot","Atlanta","Georgia","Portable Device","Retail Merchant Including Online Retail","5,563",5563,"A laptop was stolen on March 23.  Home Depot associates may have had their Social Security number and amount of Home Depot incentive program bonus exposed.  Names and addresses were not on the laptop.  Employees were notified on April 30.","Dataloss DB","2007",-84.3879824,33.7489954
"April 27, 2007","Commonwealth Business Media","Newark","New","Unintended Disclosure","Business Other","145",145,"An employee accidentally attached a spreadsheet to an email that was sent to other employees.  The spreadsheet had the names, Social Security numbers and other personnel information of each of the people it was emailed to.","Dataloss DB","2007",-74.1723667,40.735657
"April 4, 2007","Guilford Technical Community College","Greensboro","North","Physical Loss","Educational Institutions","550 (No SSNs or financial information reported)",0,"A surplus file cabinet that was temporarily stored in a warehouse area prior to an auction held sensitive paper documents.  Anyone entering the warehouse could have viewed or taken the files.","Dataloss DB","2007",-79.7919754,36.0726354
"April 19, 2007","Honeywell International ","Morristown","New","Portable Device","Financial and Insurance Services","0",0,"A laptop was stolen from a Honeywell HR employee.  It contained the names and Social Security numbers of employees.  At least 20 New York residents were affected, but the total number of people affected nationwide was not revealed.","Dataloss DB","2007",-74.4815438,40.7967667
"April 3, 2007","Commerce Banc Insurance Services (CBIS)","Cherry","Hill","Portable Device","Financial and Insurance Services","12,876",12876,"A CBIS vendor had a laptop stolen.  CBIS employees may have had their names, Social Security numbers, and possibly health information exposed.","Dataloss DB","2007",-75.0246312,39.926813
"April 5, 2007","Thomson Elite","Los","Angeles","Stationary Device","Financial and Insurance Services","409",409,"Eleven computers were stolen during a March 25 office burglary.  One of the computers contained a file of travel and expense information of certain individuals.  Credit card information and Social Security numbers may have been exposed.","Dataloss DB","2007",-118.2436849,34.0522342
"April 3, 2007","Waste Management Inc.","Houston","Texas","Portable Device","Business Other","400",400,"A laptop was stolen from an employee on or around January 10.  People who had previously traveled on the company aircraft  had their information exposed.","Dataloss DB","2007",-95.3698028,29.7604267
"April 3, 2007","Waste Management Inc.","Wixom","Michigan","Insider","Business Other","0",0,"An investigation revealed that an employee was selling customer financial information.  The employee's work computer was searched and several spreadsheets with customer names, addresses, credit card numbers and bank account numbers were found.","Dataloss DB","2007",-83.5363268,42.5247555
"April 11, 2007","Midas International Corporation","Itasca","Illinois","Unintended Disclosure","Retail Merchant Including Online Retail","546",546,"Two emails were sent to a group of Company employees.  They contained an attachment with the names, Social Security numbers, addresses, dates of birth, job titles and pay rates of all employees.  Some of the email recipients had authorization to view the information, but most did not.","Dataloss DB","2007",-88.0072909,41.9750287
"April 19, 2007","Valve Software","Bellevue","Washington","Hacking or Malware","Retail Merchant Including Online Retail","0",0,"A hacker accessed customer information that was stored on the website.  Thousands of customers had their information exposed, and the hacker posted some customer credit card information.  The hacker claims to have gained access by utilizing login details that were easily found by browsing.  Valve asset information was also exposed.","Dataloss DB","2007",-122.2015159,47.6101497
"April 3, 2007","College Loan Corporation","San","Diego","Portable Device","Financial and Insurance Services","0",0,"A laptop was stolen from an employee's vehicle in a parking lot on March 24.  It contained names, Social Security numbers and loan data.","Dataloss DB","2007",-117.1610838,32.715738
"June 12, 2010","JP Morgan Chase","Hackettstown","New","Insider","Financial and Insurance Services","12",12,"A Chase bank teller sold twelve customer account profiles to outside parties between 2008 and 2009.  These customer accounts were then fraudulently charged over $60,000.  The former employee and the outside parties were all caught.","Databreaches.net","2010",-74.8290555,40.8539879
"August 30, 2005","JP Morgan Chase & Co.","Dallas","Texas","Portable Device","Financial and Insurance Services","0",0,"A laptop was stolen on August 8th.  It contained 
            personal and financial account information of customers.  Those affected were contacted.","Dataloss DB","2005",-96.7969879,32.7766642
"May 1, 2007","JP Morgan","Chicago","Illinois","Portable Device","Financial and Insurance Services","47,000",47000,"A computer tape containing 
            personal information of wealthy bank clients and some employees was 
            delivered to a secure off-site facility for storage but was later 
            reported missing.","Dataloss DB","2007",-87.6297982,41.8781136
"May 1, 2007","JP Morgan","New","York","Physical Loss","Financial and Insurance Services","0",0,"Documents containing 
            personal financial data of customers including names, addresses and 
            Social Security numbers were found in garbage bags outside five branch 
            offices in New York.","Dataloss DB","2007",-74.0059728,40.7127753
"May 23, 2007","Mountain Xpress (Greenline Media Inc.)","Asheville","North","Hacking or Malware","Business Other","6,540",6540,"Someone launched a dictionary attack on the email server.  The hacker obtained a user name and password that allowed access to an internal database that stored credit card numbers.","Dataloss DB","2007",-82.5514869,35.5950581
"May 7, 2007","Private Tax Practice","Southold","New","Portable Device","Financial and Insurance Services","60",60,"A laptop with client information was stolen on April 27.  Tax return files were on the laptop, though it was encrypted. Client information also included names, addresses and Social Security numbers.","Dataloss DB","2007",-72.4731529,41.0801973
"May 29, 2007","Mytreo.net","Sunnyvale","California","Unknown","Retail Merchant Including Online Retail","679",679,"Mytreo.net store customers may have had their personal information compromised.  An individual may have viewed names, Social Security numbers, addresses and encrypted credit card information.  The criminal had not been caught at the time of the report, and their method for accessing customer information was not revealed.","Dataloss DB","2007",-122.0363496,37.36883
"May 8, 2007","EZCORP, EZPAWN","San","Antonio","Physical Loss","Financial and Insurance Services","0",0,"Several EZPAWN stores in the San Antonio area exposed customers' personal information by discarding business records in easily accessible trash cans behind stores.  The Texas Attorney General decided to take legal action against EZCORP Inc. and its subsidiary EZPAWN.  Customer records included promissory notes and bank statements that contained names, addresses, Social Security numbers, driver's license numbers and checking account information.","Dataloss DB","2007",-98.4936282,29.4241219
"May 8, 2007","Jones Beauty College","Dallas","Texas","Physical Loss","Educational Institutions","0",0,"The Texas Attorney General filed an enforcement action against the College in March.  Student financial aid forms with Social Security numbers and other personal information had been improperly discarded.  ","Media","2007",-96.7969879,32.7766642
"May 11, 2007","Student Loan Funding Resources, The Art Institute of California","San","Diego","Hacking or Malware","Financial and Insurance Services","0",0,"A breach on the Student Loan Funding's eCounselor website may have exposed names and Social Security numbers.","Dataloss DB","2007",-117.1610838,32.715738
